192.168.10.33, 2017-05-22 17:30:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000822
192.168.10.33, 2017-05-22 17:30:59, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000973
192.168.10.33, 2017-05-22 17:30:59, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000471
192.168.10.33, 2017-05-22 17:30:59, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001223
192.168.10.33, 2017-05-22 17:31:00, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000991
192.168.10.33, 2017-05-22 17:31:00, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.003108
192.168.10.33, 2017-05-22 17:31:00, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000526
192.168.10.33, 2017-05-22 17:31:00, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000570
192.168.10.33, 2017-05-22 17:31:00, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000525
192.168.10.33, 2017-05-22 17:31:02, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000900
192.168.10.33, 2017-05-22 17:31:02, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.040326
192.168.10.38, 2017-05-22 17:36:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.033639
192.168.10.38, 2017-05-22 17:36:17, GET, /admin/default/site, HTTP/1.1, 200, 0.213310
192.168.10.38, 2017-05-22 17:36:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
192.168.10.38, 2017-05-22 17:36:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.019703
192.168.10.38, 2017-05-22 17:36:23, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.080906
192.168.10.38, 2017-05-22 17:36:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.033850
192.168.10.38, 2017-05-22 17:36:29, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.032962
192.168.10.38, 2017-05-22 17:36:36, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.040406
192.168.10.38, 2017-05-22 17:36:40, GET, /welcome/default/user/request_reset_password, HTTP/1.1, 200, 0.062902
192.168.10.38, 2017-05-22 17:36:47, GET, /welcome/default/user/request_reset_password, HTTP/1.1, 200, 0.033270
192.168.10.38, 2017-05-22 17:36:52, GET, /, HTTP/1.1, 303, 0.000814
192.168.10.38, 2017-05-22 17:36:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.030396
127.0.0.1, 2017-05-22 17:37:26, GET, /, HTTP/1.1, 303, 0.000673
127.0.0.1, 2017-05-22 17:37:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.024466
127.0.0.1, 2017-05-22 17:37:42, GET, /, HTTP/1.1, 303, 0.000935
127.0.0.1, 2017-05-22 17:37:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.089858
127.0.0.1, 2017-05-22 17:37:54, GET, /, HTTP/1.1, 303, 0.001333
127.0.0.1, 2017-05-22 17:37:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.102146
127.0.0.1, 2017-05-22 17:38:17, GET, /, HTTP/1.1, 303, 0.000766
127.0.0.1, 2017-05-22 17:38:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.085208
192.168.10.38, 2017-05-22 17:38:20, GET, /, HTTP/1.1, 303, 0.001040
192.168.10.38, 2017-05-22 17:38:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.028933
192.168.10.38, 2017-05-22 17:38:23, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.040139
192.168.10.38, 2017-05-22 17:38:29, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.034120
192.168.10.38, 2017-05-22 17:38:32, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.031266
192.168.10.38, 2017-05-22 17:41:36, GET, /, HTTP/1.1, 303, 0.000542
192.168.10.38, 2017-05-22 17:41:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.019264
192.168.10.38, 2017-05-22 17:42:06, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.087898
192.168.10.38, 2017-05-22 17:42:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000276
192.168.10.38, 2017-05-22 17:42:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.026922
192.168.10.38, 2017-05-22 17:42:11, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.031985
192.168.10.38, 2017-05-22 17:42:17, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.038827
192.168.10.38, 2017-05-22 17:43:26, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.044141
192.168.10.38, 2017-05-22 17:43:39, POST, /welcome/default/user/register, HTTP/1.1, 303, 0.199999
192.168.10.38, 2017-05-22 17:43:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.059356
192.168.10.38, 2017-05-22 17:43:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.036886
192.168.10.38, 2017-05-22 17:43:51, GET, /admin/default/site, HTTP/1.1, 200, 0.005030
192.168.10.38, 2017-05-22 17:43:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
192.168.10.38, 2017-05-22 17:43:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.022522
192.168.10.38, 2017-05-22 17:43:56, GET, /welcome/default/user/profile, HTTP/1.1, 200, 0.040249
192.168.10.38, 2017-05-22 17:43:59, POST, /welcome/default/user/profile, HTTP/1.1, 303, 0.234035
192.168.10.38, 2017-05-22 17:43:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.031975
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/default/index, HTTP/1.1, 200, 0.072728
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000528
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000499
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.001096
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000617
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.019271
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.014716
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.017576
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000300
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000391
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000424
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000501
